	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
YLR312C	5.5783296	5.7823367	5.6620545	6.4485026	6.1499208	5.9581909	6.3834562	6.0510055	5.6955165	5.7432489	5.8644647	5.8027858	6.1632114	6.0026568	5.5237197	6.4350557	6.1248737	6.2650336	9.7838631	7.4931445	7.4703131	11.0412200	8.6133766	8.7571802	8.5754213	6.6747865	5.4247527	5.1486821	5.5101232	7.1643132	7.1906295	7.2381763	6.3449493	6.1954986	5.8885689	8.1615678	8.0496091	8.3958178	8.0642834	7.6467361	8.9703846	7.1517568	7.2540368	7.8198686	6.9880862	7.7786555	7.1612381	8.4679013	6.1210122	5.6264363	8.6748105	5.7603755	6.9902653	7.2421856	6.7393337	7.9069820	6.7702256	6.9106522	6.7450586	9.7526827	8.6494446	6.7288748	7.4674664	7.5393743	8.1050797	8.0698185	8.1803321	8.7841435	8.6535740	8.8253508	9.4309578	9.5632057	9.3108091	8.4564991	8.6367511	8.7793102	8.7410717	8.6732112	9.0193319	9.1712428	9.0475951	8.9005690	9.2088079	8.5241794	8.8534555	8.9708805	8.9674625	9.7185612	8.5585575	8.6129704	9.1405229	9.0740738	9.0377465	9.3737374	6.0397539	5.8637175	5.9555884	5.8453894	5.9948339	6.1414861	8.4236736	8.2187329	8.6758528	9.4965821	6.4480101	6.9676647	5.4604874	5.4402214	6.3959270	6.0387722	9.2068948	9.1946163	9.2533970	6.7992740	9.6986771	9.7174626	8.9658833	8.6881027	9.8232107	9.5530310	9.6236086	9.3117008	9.3147087	8.8201742	8.7668304	8.6508084	8.7556324	6.6731206	6.9568710	7.0440135	6.3548952	6.2423496	6.1477933	8.0889787	6.6101694	6.5785670	6.6196729	9.1621533	9.2754374	9.2089423	7.6087365	7.2830677	7.4443074	7.4731398	7.3661737	7.2246433	5.3132033	5.1489583	6.1342687	5.8423700	5.9218821	5.4193997	6.6166735	6.6607890	6.6036572	7.1728044	7.1438460	6.9062815	7.0844484	7.2630171	7.1050739	6.5604758	6.4846411	6.6510635	8.5181399	8.9845591	9.2160759	9.4289293	8.2082368	8.0299166
YLR284C	5.9652744	5.2702733	5.5267659	5.3646341	5.8536139	6.0428238	5.0386390	6.0148487	6.9132176	6.6324396	6.5909380	6.0187973	5.3876896	5.6755724	6.0944490	6.6777635	7.2119461	6.9608440	10.2241250	6.3505773	5.8437734	12.1492190	8.8964959	9.0897664	8.9844837	7.0996499	5.9298777	6.0877103	5.9095812	7.0178933	7.0920143	6.9581366	7.0496412	7.1124812	6.8061939	7.2161246	6.9876942	8.9300862	8.0451289	6.8350182	9.6258821	7.1686607	7.3211136	6.9983740	6.3559723	6.6858873	6.3657860	8.7855224	6.6412983	6.3148712	8.7791175	6.7956638	6.9155640	7.2251324	7.2372836	6.9843282	6.5339995	6.4672557	6.5003419	9.7474900	7.4808345	7.3148479	7.2462764	7.1654163	7.0019292	6.8561435	6.9971104	9.1125058	9.0293703	9.6850119	9.5203857	9.5069742	9.5016650	8.0255918	7.9025097	7.8514281	9.1363288	9.6561928	9.7165699	9.7909375	9.3817882	9.3205233	9.6509189	8.6800585	9.5448713	9.3330860	9.6594276	10.3588230	10.2784540	9.8616419	10.3237490	9.9714194	9.9987640	10.0408250	7.1155509	6.9058461	6.9072361	6.6161156	6.7034150	6.7365761	8.8855419	8.9422473	9.1999073	10.1757970	7.1705140	7.0586605	6.3516985	6.0541586	7.0919996	6.0798922	9.2178069	9.8533821	9.9392796	7.1835174	9.7592830	9.9126720	9.3592835	9.1578807	9.8460236	9.7880297	9.4825916	9.3157720	9.6915893	9.2352295	9.2538662	9.1104640	9.3141032	6.8098349	7.2505756	6.9774556	7.1565962	7.0304594	7.2416124	7.1625070	6.9573660	7.2254830	7.0228959	10.1210080	10.0070780	10.0962850	7.3371143	7.2762518	7.4538684	7.3628324	7.6611715	7.3776287	6.6740761	7.1078764	7.6060215	7.5579291	7.4431176	7.1464424	7.3837399	7.3518080	7.4999275	7.7817507	7.8482289	7.5340224	7.0680476	7.1764765	7.3236003	7.0304055	7.0512904	7.1634907	7.7858620	9.5364675	8.3840103	8.1427144	7.1277360	7.1087908
YLR205C	6.2162036	8.2560615	6.4985456	6.9120889	8.0834446	5.8374109	6.8894344	5.8616133	5.8747663	5.7340899	5.3623848	5.9008284	6.7189908	7.7171779	6.2265773	6.1602768	6.3911872	6.3791347	9.2453671	8.8343611	8.9269161	10.9235890	8.5988598	9.0854531	8.8405953	6.6249723	5.6384592	6.2578420	6.3151044	5.7948465	6.0394263	6.3992176	6.3215866	6.1554351	6.4036574	8.9280272	9.2759552	11.1485050	11.2019420	9.0111494	10.5563000	6.0041456	6.1972322	8.3636598	8.6074752	8.6886902	8.8405133	8.5447454	7.0077362	7.3352471	8.5690069	7.3496523	7.4378657	7.5570950	7.9890218	8.3580322	5.0294312	5.3363714	5.2151809	9.5623951	8.8600693	9.0984288	9.3746672	9.2821627	9.2541199	9.0755254	9.1164781	9.7465115	9.7720194	9.8684073	9.2532263	9.4399986	9.4525699	9.1643829	9.0356313	9.0302917	9.9188938	10.0451620	9.7179613	9.7632275	9.2768116	9.1791868	9.6055527	9.2903767	9.4634266	9.4910345	10.3495960	9.8569936	10.3017060	9.9938069	9.7502928	9.3276624	9.2929801	9.6554118	6.2465191	6.9183483	6.6842051	7.1186429	6.9237847	6.7241506	9.0687886	8.8328657	8.7216330	10.0803580	6.1220552	6.0821237	5.7556620	6.0411352	6.2962136	5.9239039	10.0851060	9.8449288	9.9295826	6.1509380	9.8626413	10.0660760	9.3296223	9.6402435	9.8292656	10.1023220	10.3589460	10.3904380	9.3211364	8.5217581	8.3548078	8.8132133	8.7122564	6.4820866	6.0227746	6.2796497	6.2018005	6.2461214	7.0148888	5.8287229	6.1489353	6.1471367	6.3304105	9.2141524	9.3623952	9.1203156	9.5444403	9.7448644	9.4126367	6.6516185	6.3125257	6.6363001	7.6615104	7.7920762	6.3068056	6.5368432	6.1423622	7.1967431	7.0639105	6.8338514	7.4458733	6.5101652	6.6648331	6.0614291	5.4905548	5.5612907	5.6391530	5.6225700	5.4887600	6.0158900	9.2217923	9.4559116	11.5040680	11.3048690	9.1686345	8.9438371
YLR174W	6.1123104	6.4871588	6.2233720	5.9958782	6.5449319	5.2931795	5.6783690	5.6028577	5.6592703	5.8362022	5.9584002	5.4148994	6.0834508	6.0217904	5.8484564	5.9353761	5.9559913	5.7056694	11.0679650	6.1513038	5.9351907	11.4094430	10.9051820	11.0005800	10.8671790	5.8432488	5.5201182	5.5891734	5.6307578	5.5260119	5.6559939	5.8452735	5.8148779	5.4111986	5.5202359	6.7386279	6.7432184	11.0776460	10.9306550	6.8982467	11.1439060	6.4414649	6.3730640	6.3101349	6.1318907	6.4695587	6.0295392	10.4873770	5.8324661	5.5474511	10.4475080	5.9839306	6.1309696	6.2174411	6.3373880	6.1478653	6.0006734	6.1313372	5.7029481	10.6566980	6.8775358	6.5470534	6.5188007	6.2960305	6.6634603	6.7185597	6.6706958	9.9280930	10.0238150	10.2681270	10.5929580	10.5817050	10.7574480	9.7716293	9.8439064	9.9127006	10.2687000	10.7124180	10.9013710	10.9185120	10.6180940	10.6067660	10.7103000	10.6748620	10.6787260	10.8083520	11.5020080	11.7796990	11.3924240	10.9191230	11.2740400	10.6805780	10.6196200	10.9147870	5.8461557	6.4842077	6.4181290	6.6542062	6.5853342	6.5918045	10.1389610	10.2290930	10.5203930	10.8877010	5.9251013	5.5254588	5.6903624	5.7609219	6.0618382	5.7259283	10.2652260	10.5674630	10.6142010	5.3489232	11.4671130	11.2828330	10.7198920	10.4513340	11.1304650	11.4547530	11.2360840	11.2949670	10.5371510	10.5738560	10.6025730	10.4499110	10.5164160	5.9655280	5.8344374	5.5964203	5.8486900	5.5779958	6.3356042	6.2123594	5.6346349	5.5631252	5.4724751	11.2694700	11.2982000	11.2317300	6.5056753	6.7998710	6.2722535	6.2916832	6.1021872	5.9366068	6.4524755	6.5705042	5.5385503	5.4485693	5.4581395	6.2329255	6.4586415	6.3081146	6.6049876	5.8419915	5.9556379	5.5946674	5.4878530	5.6658917	5.4992109	5.5696159	5.4559965	5.6343474	6.8592486	10.6663910	10.9992010	11.0056020	6.7396217	6.6299276
YLR142W	6.3047614	6.9764490	6.1396517	5.8921265	7.0080599	5.7329888	5.5704555	6.3803521	5.5332146	6.2402468	5.3392878	5.9397897	6.1008630	6.9282780	6.5792999	6.6667662	6.6321497	6.3635874	8.3723231	6.7354574	7.0073775	10.7570720	7.8290924	8.1901579	8.0165635	6.6883668	5.9839344	6.0706053	8.6834813	10.4826970	10.2114310	6.4151720	6.1833048	6.4816790	6.4688029	9.4097547	9.6779375	8.3601628	8.2274665	9.4600277	7.9461413	9.7926006	10.0584700	10.2642590	6.5301109	10.9418930	6.3392649	9.3726416	8.1907130	8.0975742	9.3116340	7.5891785	5.9372520	5.9215135	5.7972875	10.9573290	9.6892453	9.8259659	9.7306080	8.3546743	10.8687200	6.8595185	7.0273629	6.8679180	7.0097318	6.5958548	6.6659517	8.3058929	8.5244989	8.5437327	11.5890390	11.3898110	11.7759550	10.2960830	10.4264240	10.7136050	8.6947994	7.3890662	7.5196738	7.7103958	8.2016229	8.6849099	7.9638557	7.4141311	7.0346642	7.0579324	8.5536871	9.0872869	8.6577606	8.3040160	8.3480015	8.3551084	8.5295686	8.8031969	6.5072126	6.6034360	6.4763665	7.1584325	6.9964795	6.8990673	8.3223123	8.2046452	8.3279972	8.6687565	6.7010202	10.4714460	8.9466076	6.0045427	6.6468578	8.8977832	9.0612391	8.4312791	8.2436458	5.9166555	8.4264269	8.4815989	8.1293649	8.1916724	8.0065031	8.0008298	7.7924380	7.9275088	8.8836937	8.0221968	8.0609856	7.6763405	8.1019401	6.3224297	6.5590439	6.2970724	6.7622838	6.6580658	6.8412495	10.2905970	8.3487139	8.4414358	8.5846796	7.7862029	8.1262980	8.1817980	7.2643872	7.0633163	7.3615337	9.9554482	10.1092470	10.0446210	6.5558711	6.5894975	6.2590108	6.1937318	5.8481545	6.1505351	6.3248515	6.1663580	6.3723598	6.7150535	6.7628469	6.5162587	10.3013230	10.3027930	10.0461140	6.3332853	6.2696829	6.4586978	10.7436050	8.5884047	8.8884506	9.0069504	10.1951560	10.0651230
YLR134W	7.5051079	10.4745860	8.9774894	7.6702185	10.4230240	8.0803356	7.5805168	7.3335104	7.3260116	7.4047489	7.1970362	8.0001899	7.6006837	9.9944649	7.4378124	7.3761778	7.4725394	7.1747250	7.0554448	8.6006775	8.3428956	6.4726692	7.4075213	7.5803723	7.3999534	6.9588460	7.0421494	6.9736896	7.2250323	9.4407043	9.6121282	7.0134316	7.4833202	7.2979746	7.4053883	12.0033110	12.1609880	7.3395463	7.4515843	11.9984450	6.8702950	8.1181183	7.9685717	11.4562740	8.7374534	12.1081590	8.2005730	7.3902568	9.1049795	8.7135077	7.5797091	9.0458211	10.8087640	10.9483220	11.1406310	12.1917510	9.0537644	9.0368442	9.0095110	7.4574318	11.9449700	10.5585500	10.9456900	10.7898710	8.1694555	8.4404106	7.8086767	6.7583951	6.5820212	6.7275800	7.0634565	7.1388941	7.0771861	7.2575072	7.4438410	7.2495332	6.9629011	6.5420150	6.7927999	6.6778879	6.7477884	6.7092180	6.6331759	6.4745212	6.7555823	7.0620379	6.9130039	6.8796668	7.0730715	7.4496498	7.1457024	7.0043654	6.3802629	7.1964893	6.6411558	6.7030000	6.7686548	7.3027664	7.0931659	7.1304406	7.2728539	7.3646803	6.7842865	7.4801722	7.0095225	9.5984516	7.3797555	7.2459703	7.2657027	7.5502129	6.8957490	7.0411323	6.9021997	7.2700366	7.1861425	7.1012478	7.0858698	7.1554989	6.9328832	6.8968172	7.1567435	6.6373945	7.2024263	7.1877116	7.1429925	7.3252320	7.4355530	7.2121791	7.2306647	7.0522278	7.6835989	7.4289980	7.2004118	8.2095194	7.1241837	6.6746607	7.1565494	7.2736101	7.5604858	7.4442911	10.9745340	10.8111740	10.6429040	9.4463882	9.7754325	9.5812416	10.5676350	10.5359940	6.7669244	6.9287643	6.8113017	10.4932860	7.8517309	7.6749774	7.8621664	6.6351385	6.8939605	6.5974106	7.6227669	7.4927387	7.2102880	6.8680158	6.8345327	6.9237514	11.7395800	7.1525331	7.3261113	7.2779965	11.3125320	11.0389150
YLR081W	5.2707429	5.2971745	5.3517971	5.4111500	5.6831021	5.5038362	5.1460815	5.2932267	4.9704662	5.1772589	4.9154334	5.0734539	4.9685053	4.9342112	5.7169375	4.8894629	5.4991107	5.1718855	12.5236450	5.0617434	4.7208376	9.4985161	4.8505530	5.2491188	4.9757771	4.8599501	5.1213936	5.6049394	5.5724992	4.8364663	5.3768062	4.8669448	5.0144171	5.0902037	5.6995202	4.8507809	5.0502949	5.3819280	5.5662513	5.0804180	5.4596091	5.1873412	5.0759602	4.5678825	5.2938290	4.5360421	5.6990004	5.0462575	5.2104631	5.3381582	5.1869317	5.7046443	5.0202684	4.8537350	5.1056761	4.6316237	4.8092089	4.9552497	4.9601264	5.8529434	5.0671921	6.2348060	5.4544311	5.6776447	5.2622714	5.1156301	5.0828004	4.9121723	5.8486390	4.9738441	4.9421067	5.1368656	5.1338653	4.9969907	5.1307297	5.0520834	5.1768885	5.4981784	5.0228539	5.6909170	5.2858967	5.0861288	5.4015198	4.7233591	4.9597706	4.7264338	5.3316250	5.2523465	13.0197980	12.6467020	12.7983470	5.6181097	5.4390764	5.4432202	5.3031692	6.3233346	6.0438270	6.6041808	6.4914618	6.4485664	5.5187202	5.7718182	5.7810378	12.8011590	4.6142030	4.9436350	5.2756463	5.4872045	5.1781912	5.6001115	5.5261169	5.4923115	5.7822948	5.5787969	5.1115031	5.6031637	5.5190402	5.6765451	5.5926786	4.8960428	5.1527023	5.4504795	4.9987397	5.4252019	5.0517903	5.4304852	5.2592778	4.9979692	5.1695123	5.0664248	5.2484303	5.2449922	6.7496496	5.2015619	5.0455169	5.1363435	5.3341412	5.2664666	5.6276116	5.3999943	4.8803053	5.4294424	5.3638173	5.8230033	5.4376526	5.4507465	5.8932657	5.4686170	5.3611618	5.3799662	5.0831027	5.6941070	5.6548152	5.7339463	5.8074088	5.2338210	5.2915139	4.8962602	4.7164889	4.8035259	4.8386965	4.8979330	4.7180520	5.0771803	4.8890400	5.4182329	5.0257178	4.7871909	5.3236389	4.8746614
YLL057C	5.5742420	5.0804529	4.9167690	4.4941393	6.0222360	4.4636650	4.3518005	4.9669661	4.1605702	4.5375271	4.0379653	4.1727434	4.8032765	5.0240331	4.5944009	4.8120265	4.9384636	4.9001012	4.5208711	12.3672410	12.3289360	5.5668669	4.2085743	4.3444772	4.2917490	4.5695873	4.3849735	4.8390770	4.9791417	4.2012424	4.6879391	4.9887019	4.6984520	4.6799946	4.7355933	4.8751788	4.8689790	5.6029562	6.3599420	4.8730021	5.0034103	5.1438628	5.4399314	4.4206682	12.3812420	4.7490454	12.5055920	4.0571409	4.3393111	4.6944604	4.2803712	4.3524060	9.6960391	9.3754196	9.0514164	4.4322567	4.5599093	4.8665752	4.5965242	5.0154729	4.5771313	4.7902021	4.5908780	4.2844862	12.2656750	11.9533460	11.9720340	4.7486057	4.9427085	4.9378428	4.7709733	4.8988891	5.0849074	4.6126118	4.9521685	4.9552064	4.7461076	5.2510213	5.7141351	5.4373551	4.4625225	4.9171248	4.4675049	4.7015843	4.6934313	4.9015942	5.1525126	4.6066737	4.8482098	5.1377678	5.1359190	4.8492451	4.8785280	5.0045347	5.2798443	5.0896491	4.8796058	3.4324055	5.3782073	5.2392097	4.8991627	4.3905259	4.9663353	4.9597425	4.6691499	4.2971745	4.7697219	4.4885535	4.6878800	4.8749218	4.5138646	4.4095258	4.6923608	4.6618891	4.5722351	4.4372793	4.8755798	5.1622411	4.3172918	4.4352484	4.6753564	4.0343857	4.5199156	4.2977104	4.7219615	5.0091624	4.8547755	11.7716200	11.3258420	11.3364810	4.9507026	5.0203417	4.9378295	5.3652358	5.1267439	4.7477203	5.0547189	5.0169540	5.3025833	5.1617478	5.0160923	5.0812874	4.8683891	5.0244132	5.2887221	5.0331635	5.0876451	4.8055597	4.7507058	4.6444864	4.7507138	4.2976045	4.1669649	4.3159166	4.2031832	4.7973647	4.7593355	4.2990074	3.9627881	4.1970281	4.1411280	11.8539600	11.8372020	11.9298690	4.6010065	4.5155687	4.8999210	4.5965896	5.0873714	4.7970596
YLL055W	7.3577181	7.2571831	7.6740021	6.7520466	7.2180257	7.1634040	6.5012826	7.0461302	7.1505961	7.1987714	7.2498827	7.7818794	6.6882777	7.1585370	7.2253681	8.0062217	8.1074410	7.7848392	7.8681727	12.4604200	12.4074380	8.2930221	7.1897678	7.4417476	7.4361410	8.1288328	6.6766491	6.5854768	7.7270312	9.1713008	9.4539223	7.9160752	7.6405392	7.8334031	7.7119475	9.8945198	9.4998845	7.5846524	7.5860262	9.3494874	7.9256201	9.0089655	8.9745713	8.8944512	12.1250990	8.5245714	12.1375980	7.0725531	8.5864849	9.4835700	6.8592229	8.7142258	10.1589320	10.5190320	10.2952200	9.1509219	9.2021217	9.1254521	9.3526173	8.5759897	9.5535698	7.8721046	8.3218899	8.5690842	12.5871780	12.2854160	12.2246300	7.7937250	7.9236073	7.9800906	8.1421613	8.0030155	8.0242156	7.9337764	8.1111307	7.9206137	7.4132567	7.8177118	8.4357319	8.2735109	8.9015846	8.9435587	8.8158703	8.3968849	9.2410050	9.2202550	9.2881851	8.1375838	7.9228902	8.0202094	7.9376888	8.2872620	8.5986424	8.6233254	8.0265302	8.0826902	8.0342588	7.9176145	8.0482558	8.0462579	8.0810775	7.9326000	7.8572769	8.2394485	7.9153251	9.6579847	7.9848056	6.7186723	8.3054866	7.8964800	7.5426522	7.5379992	8.2369127	7.8714437	8.2383518	8.0215883	9.1174278	9.2298889	8.4415636	8.1963063	8.6403026	8.2930078	9.0648422	8.0811759	7.8442526	7.7366257	7.9311766	12.2867150	11.8642120	12.1587090	7.6579905	7.5588313	7.3471251	9.3597965	8.1076403	7.9062690	7.9543409	8.2866325	8.6872626	8.5506916	8.8749389	9.1214380	8.9339219	9.8652611	10.1225930	10.0154540	8.6314363	8.1942529	7.3247886	7.3689327	7.0216103	8.3865165	8.8094215	8.4535923	8.7280703	9.2404785	9.1479502	8.9123135	7.8576336	7.6465182	7.6772999	12.3996430	12.4466020	12.3506430	9.6760941	8.5333233	8.9887343	9.1001682	9.1024246	9.3967495
